epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
40,1084.26,0.70977,1.06237,0.93801,0.29272,0.15263,0.10573,0.08311,1.18129,3.00611,1.06673,3.62202e-05,3.62202e-05,3.62202e-05
41,1111.34,0.71306,1.06544,0.94039,0.29958,0.1702,0.11579,0.09331,1.18904,3.05605,1.0772,3.3072e-05,3.3072e-05,3.3072e-05
42,1137.76,0.69167,0.98001,0.93244,0.28624,0.17069,0.12762,0.1072,1.18092,3.05432,1.08136,2.99238e-05,2.99238e-05,2.99238e-05
43,1164.35,0.67619,0.94254,0.92706,0.23904,0.17165,0.12104,0.0993,1.16998,3.0325,1.07081,2.67756e-05,2.67756e-05,2.67756e-05
44,1190.77,0.68726,0.94691,0.92806,0.38145,0.14648,0.12241,0.10049,1.15862,3.03017,1.06532,2.36274e-05,2.36274e-05,2.36274e-05
45,1217.17,0.66588,0.90498,0.92169,0.29679,0.16572,0.12276,0.10042,1.16399,3.00315,1.06895,2.04792e-05,2.04792e-05,2.04792e-05
46,1243.57,0.6602,0.90422,0.91825,0.36675,0.13463,0.12384,0.10207,1.16368,2.99011,1.07154,1.7331e-05,1.7331e-05,1.7331e-05
47,1269.98,0.66486,0.87434,0.9118,0.43525,0.14121,0.12105,0.09887,1.17132,3.00926,1.07202,1.41828e-05,1.41828e-05,1.41828e-05
48,1296.4,0.64867,0.8373,0.91473,0.39652,0.13604,0.12145,0.09945,1.17259,3.0017,1.06946,1.10346e-05,1.10346e-05,1.10346e-05
49,1322.77,0.65395,0.8687,0.91881,0.55641,0.09656,0.11958,0.09868,1.1641,2.97149,1.06695,7.8864e-06,7.8864e-06,7.8864e-06
50,1349.13,0.65036,0.87565,0.90873,0.3949,0.13908,0.12418,0.10199,1.16294,2.97647,1.06712,4.7382e-06,4.7382e-06,4.7382e-06
